id-EP2615023B1    citedBy-10
id-CN102431460A    citedBy- 
id-EP2426019A2    citedBy-7
id-DE102010041174A1    citedBy-6
id-JP5325863B2    citedBy-5
id-JP2012075209A    citedBy-5
id-JP2012075265A    citedBy-3
id-DE102011111025B4    citedBy-1
id-JP2012065396A    citedBy-1
id-WO2012035817A1    citedBy-2
id-DE102010047338B4    citedBy-5
id-EP2433831A3    citedBy-5
id-KR20120029716A    citedBy-3
id-KR101152211B1    citedBy-2
id-WO2012043107A1    citedBy-4
id-DK2426008T3    citedBy-4
id-KR20120031609A    citedBy-3
id-KR20120031391A    citedBy-5
id-US20130221935A1    citedBy-4
id-KR101018561B1    citedBy- 
id-US8860363B2    citedBy-45
id-JP5578014B2    citedBy-41
id-US8761984B2    citedBy-48
id-EP2447108B1    citedBy-34
id-EP2634053B1    citedBy-31
id-US8983723B2    citedBy-30
id-KR101141770B1    citedBy-30
id-US8847544B2    citedBy-28
id-EP2634055B1    citedBy-26
id-EP2639130B1    citedBy-24
id-US8880263B2    citedBy-23
id-US8305085B2    citedBy-22
id-EP2631103B1    citedBy-20
id-US9401617B2    citedBy-20
id-US8371401B1    citedBy-20
id-US8571779B2    citedBy-19
id-JP5434879B2    citedBy-19
id-US9108514B2    citedBy-17
id-US20120109519A1    citedBy-113
id-EP2634059B1    citedBy-14
id-WO2012057323A1    citedBy-24
id-US8924063B2    citedBy-13
id-CN102717757B    citedBy-13
id-JPWO2012056855A1    citedBy-11
id-EP2631135B1    citedBy-12
id-WO2012050010A1    citedBy-13
id-CN102452321A    citedBy-10
id-JP5165812B2    citedBy-9
id-CN102582448A    citedBy-11
id-DE102010042907A1    citedBy-16
id-JPWO2012056516A1    citedBy-8
id-US20130187576A1    citedBy-7
id-JP2012076701A    citedBy-4
id-DE102010047235A8    citedBy-4
id-DE102010042297A1    citedBy-4
id-CN103181069A    citedBy-4
id-KR101183285B1    citedBy-1
id-FR2966094A1    citedBy-2
id-DE102010060119A1    citedBy- 
id-KR101005565B1    citedBy- 
id-US9290097B2    citedBy-58
id-US8744656B2    citedBy-32
id-EP2639941B1    citedBy-53
id-JP5321752B2    citedBy-57
id-US9381897B2    citedBy-26
id-CN102556024B    citedBy-24
id-RU2544024C2    citedBy-22
id-US9225204B2    citedBy-20
id-US8876658B2    citedBy-20
id-US9415694B2    citedBy-15
id-US9154021B2    citedBy-14
id-US20120139329A1    citedBy-23
id-US9120480B2    citedBy-13
id-CN103221253B    citedBy- 
id-WO2012066124A1    citedBy-23
id-WO2012068409A3    citedBy-15
id-US20120138395A1    citedBy-18
id-CN102770303A    citedBy-9
id-US20120139328A1    citedBy-13
id-DE102010052797A1    citedBy-9
id-WO2012070105A1    citedBy-9
id-CN103180161B    citedBy-8
id-KR20120053216A    citedBy-6
id-KR101234635B1    citedBy-4
id-WO2012072323A1    citedBy-4
id-EP2644434A1    citedBy-3
id-DE102010050978A1    citedBy-1
id-DE102010049745A1    citedBy- 
