id-JP5250733B2    citedBy-2
id-US20090235664A1    citedBy-7
id-DE102008019813A1    citedBy-9
id-KR20090107965A    citedBy- 
id-RU2548026C2    citedBy-13
id-US20090301078A1    citedBy-29
id-DE102008029502A1    citedBy- 
id-KR101016321B1    citedBy- 
id-WO2010035927A1    citedBy-4
id-US8707701B2    citedBy-32
id-DE102009039103A1    citedBy-1
